Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1990,2,8,4,953.0,943,1233.0,1221,AA,1339,,280.0,278,,12.0,10.0,DFW,SEA,,,,0,,0,,,,,
1990,3,30,5,616.0,620,719.0,710,US,1962,,63.0,50,,9.0,-4.0,CRW,CLT,221.0,,,0,,0,,,,,
1990,12,11,2,1433.0,1433,1642.0,1647,EA,594,,129.0,134,,-5.0,0.0,ATL,BDL,859.0,,,0,,0,,,,,
1990,5,13,7,930.0,930,1210.0,1224,NW,294,,100.0,114,,-14.0,0.0,MEM,DTW,610.0,,,0,,0,,,,,
1990,4,8,7,916.0,915,1240.0,1237,AA,1322,,144.0,142,,3.0,1.0,DEN,ORD,888.0,,,0,,0,,,,,
1990,9,10,1,911.0,915,1029.0,1018,CO,548,,78.0,63,,11.0,-4.0,IAH,MSY,305.0,,,0,,0,,,,,
1990,11,17,6,1326.0,1325,1553.0,1604,DL,660,,87.0,99,,-11.0,1.0,ABQ,DFW,569.0,,,0,,0,,,,,
1990,7,17,2,1137.0,1129,1445.0,1432,UA,924,,128.0,123,,13.0,8.0,ORD,BTV,763.0,,,0,,0,,,,,
1990,9,18,2,1450.0,1450,1544.0,1550,WN,235,,54.0,60,,-6.0,0.0,MAF,DAL,319.0,,,0,,0,,,,,
1990,3,18,7,712.0,715,944.0,954,CO,1133,,152.0,159,,-10.0,-3.0,MSP,IAH,1034.0,,,0,,0,,,,,
1990,9,1,6,1348.0,1345,1521.0,1515,AA,1197,,93.0,90,,6.0,3.0,SFO,LAX,337.0,,,0,,0,,,,,
1990,6,20,3,1515.0,1517,1607.0,1610,DL,446,,52.0,53,,-3.0,-2.0,ATL,CAE,191.0,,,0,,0,,,,,
1990,7,10,2,1048.0,1045,1151.0,1153,US,431,,63.0,68,,-2.0,3.0,SNA,PHX,338.0,,,0,,0,,,,,
1990,6,17,7,1720.0,1720,1850.0,1850,CO,1241,,90.0,90,,0.0,0.0,ORF,CLE,435.0,,,0,,0,,,,,
