Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1992,6,15,1,2000.0,2000,2103.0,2121,AA,571,,123.0,141,,-18.0,0.0,LGA,ORD,733.0,,,0,,0,,,,,
1992,10,6,2,1700.0,1610,1813.0,1746,DL,219,,133.0,156,,27.0,50.0,TPA,DFW,929.0,,,0,,0,,,,,
1992,3,16,1,1600.0,1600,1711.0,1715,US,390,,71.0,75,,-4.0,0.0,SFO,LAX,337.0,,,0,,0,,,,,
1992,5,13,3,1030.0,1030,1200.0,1144,US,1086,,90.0,74,,16.0,0.0,DAY,CLT,370.0,,,0,,0,,,,,
1992,5,18,1,930.0,928,1148.0,1144,AA,1725,,258.0,256,,4.0,2.0,DFW,SEA,1660.0,,,0,,0,,,,,
1992,11,16,1,1717.0,1715,1809.0,1810,DL,811,,52.0,55,,-1.0,2.0,SHV,DFW,190.0,,,0,,0,,,,,
1992,10,19,1,1829.0,1829,1907.0,1911,HP,444,,38.0,42,,-4.0,0.0,PHX,TUS,110.0,,,0,,0,,,,,
1992,1,16,4,1558.0,1557,1658.0,1712,AA,1399,,60.0,75,,-14.0,1.0,DFW,SAT,247.0,,,0,,0,,,,,
1992,10,1,4,1040.0,1041,1349.0,1339,UA,1640,,129.0,118,,10.0,-1.0,DEN,MSP,680.0,,,0,,0,,,,,
1992,5,22,5,1500.0,1500,1600.0,1600,WN,1752,,60.0,60,,0.0,0.0,LAS,SAN,258.0,,,0,,0,,,,,
1992,9,12,6,819.0,820,1105.0,1100,UA,1936,,166.0,160,,5.0,-1.0,LAX,SEA,954.0,,,0,,0,,,,,
1992,8,8,6,1310.0,1310,1414.0,1420,WN,493,,64.0,70,,-6.0,0.0,LAS,RNO,345.0,,,0,,0,,,,,
1992,2,24,1,1357.0,1400,1518.0,1522,UA,1114,,81.0,82,,-4.0,-3.0,LAX,SFO,337.0,,,0,,0,,,,,
1992,8,10,1,1215.0,1215,1945.0,1950,HP,244,,270.0,275,,-5.0,0.0,PHX,BWI,1999.0,,,0,,0,,,,,
1992,5,27,3,900.0,900,1105.0,1111,TW,104,,125.0,131,,-6.0,0.0,ATL,JFK,760.0,,,0,,0,,,,,
1992,4,11,6,821.0,820,1105.0,1059,UA,604,,104.0,99,,6.0,1.0,ORD,DCA,612.0,,,0,,0,,,,,
1992,8,3,1,2146.0,2147,2249.0,2236,US,861,,63.0,49,,13.0,-1.0,CLT,SAV,213.0,,,0,,0,,,,,
1992,6,10,3,1530.0,1530,1643.0,1629,CO,1009,,133.0,119,,14.0,0.0,ATL,IAH,689.0,,,0,,0,,,,,
1992,5,17,7,946.0,940,1026.0,1022,US,1551,,40.0,42,,4.0,6.0,GSP,CLT,75.0,,,0,,0,,,,,
1992,6,8,1,2135.0,2135,2232.0,2233,US,624,,57.0,58,,-1.0,0.0,RNO,SFO,192.0,,,0,,0,,,,,
1992,2,25,2,1355.0,1355,1643.0,1639,UA,638,,108.0,104,,4.0,0.0,ORD,GSO,590.0,,,0,,0,,,,,
1992,5,7,4,1720.0,1722,2020.0,2011,UA,1529,,180.0,169,,9.0,-2.0,BDL,MCO,1050.0,,,0,,0,,,,,
1992,8,29,6,1938.0,1940,2110.0,2102,NW,598,,92.0,82,,8.0,-2.0,MSP,BIS,386.0,,,0,,0,,,,,
1992,8,27,4,615.0,615,927.0,916,DL,16,,132.0,121,,11.0,0.0,DFW,ATL,732.0,,,0,,0,,,,,
1992,5,8,5,1522.0,1514,1726.0,1712,UA,332,,64.0,58,,14.0,8.0,ORD,MBS,222.0,,,0,,0,,,,,
1992,3,25,3,1810.0,1810,2148.0,2146,NW,376,,158.0,156,,2.0,0.0,MSP,LGA,1020.0,,,0,,0,,,,,
1992,2,10,1,851.0,835,1023.0,1015,US,33,,92.0,100,,8.0,16.0,CLT,EWR,529.0,,,0,,0,,,,,
1992,12,24,4,906.0,835,1030.0,1013,US,702,,84.0,98,,17.0,31.0,PIT,BOS,496.0,,,0,,0,,,,,
1992,7,16,4,648.0,643,1036.0,1027,AA,857,,168.0,164,,9.0,5.0,DFW,MIA,1121.0,,,0,,0,,,,,
1992,12,24,4,900.0,900,1112.0,1103,DL,427,,192.0,183,,9.0,0.0,RDU,DFW,1062.0,,,0,,0,,,,,
1992,4,1,3,801.0,756,1107.0,1103,CO,820,,126.0,127,,4.0,5.0,IAH,TPA,787.0,,,0,,0,,,,,
1992,2,13,4,2210.0,2210,23.0,25,HP,984,,133.0,135,,-2.0,0.0,SEA,LAS,866.0,,,0,,0,,,,,
1992,6,24,3,941.0,937,1135.0,1150,UA,359,,114.0,133,,-15.0,4.0,ORD,DFW,802.0,,,0,,0,,,,,
1992,4,26,7,1408.0,1406,1629.0,1644,US,1229,,141.0,158,,-15.0,2.0,BWI,PBI,883.0,,,0,,0,,,,,
1992,6,10,3,1124.0,1125,1217.0,1228,NW,683,,113.0,123,,-11.0,-1.0,MSP,DEN,680.0,,,0,,0,,,,,
