Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1991,6,12,3,719.0,720,844.0,848,NW,88,,85.0,88,,-4.0,-1.0,DTW,DCA,405.0,,,0,,0,,,,,
1991,8,20,2,1828.0,1650,2225.0,2000,ML (1),402,,177.0,130,,145.0,98.0,MDW,LGA,725.0,,,0,,0,,,,,
1991,4,7,7,1009.0,1005,1132.0,1125,DL,369,,83.0,80,,7.0,4.0,PHX,LAX,370.0,,,0,,0,,,,,
1991,12,14,6,742.0,741,1103.0,1109,TW,196,,141.0,148,,-6.0,1.0,STL,BOS,1046.0,,,0,,0,,,,,
1991,12,10,2,1910.0,1900,2019.0,2024,UA,1124,,69.0,84,,-5.0,10.0,LAX,SFO,337.0,,,0,,0,,,,,
1991,12,15,7,626.0,625,910.0,918,DL,680,,104.0,113,,-8.0,1.0,MCI,ATL,692.0,,,0,,0,,,,,
1991,4,10,3,1153.0,1152,1243.0,1240,DL,149,,170.0,168,,3.0,1.0,DFW,LAS,1055.0,,,0,,0,,,,,
1991,12,24,2,1210.0,1210,1249.0,1250,WN,380,,39.0,40,,-1.0,0.0,HOU,AUS,148.0,,,0,,0,,,,,
1991,11,10,7,1100.0,1100,1320.0,1335,AS,228,,140.0,155,,-15.0,0.0,SEA,LAX,954.0,,,0,,0,,,,,
1991,11,26,2,1553.0,1545,1732.0,1737,US,419,,99.0,112,,-5.0,8.0,BWI,IND,515.0,,,0,,0,,,,,
1991,7,19,5,909.0,910,912.0,908,AA,1106,,63.0,58,,4.0,-1.0,GSP,BNA,266.0,,,0,,0,,,,,
1991,11,30,6,1240.0,1240,1337.0,1340,WN,636,,57.0,60,,-3.0,0.0,LIT,STL,296.0,,,0,,0,,,,,
1991,6,4,2,1930.0,1935,2059.0,2109,NW,936,,89.0,94,,-10.0,-5.0,MEM,MKE,556.0,,,0,,0,,,,,
