Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1988,9,23,5,1538.0,1530,1746.0,1732,UA,155,,248.0,242,,14.0,8.0,ORD,SEA,1721.0,,,0,,0,,,,,
1988,12,31,6,1411.0,1414,1907.0,1906,AA,598,,176.0,172,,1.0,-3.0,LGB,DFW,1220.0,,,0,,0,,,,,
1988,5,22,7,2208.0,2208,6.0,2355,TW,275,,118.0,107,,11.0,0.0,STL,IAH,668.0,,,0,,0,,,,,
1988,10,20,4,718.0,715,1248.0,1208,DL,358,,210.0,173,,40.0,3.0,SNA,DFW,1205.0,,,0,,0,,,,,
1988,1,27,3,1117.0,1117,1224.0,1225,EA,587,,67.0,68,,-1.0,0.0,JAX,MIA,334.0,,,0,,0,,,,,
1988,8,27,6,815.0,815,902.0,906,DL,370,,107.0,111,,-4.0,0.0,DFW,DEN,641.0,,,0,,0,,,,,
1988,3,7,1,839.0,839,1015.0,1010,DL,874,,96.0,91,,5.0,0.0,ATL,CLE,554.0,,,0,,0,,,,,
1988,7,2,6,2045.0,2040,2152.0,2158,CO,911,,67.0,78,,-6.0,5.0,IAH,MFE,316.0,,,0,,0,,,,,
1988,7,5,2,650.0,647,1208.0,1210,AA,690,,198.0,203,,-2.0,3.0,OAK,DFW,1456.0,,,0,,0,,,,,
1988,12,23,5,1233.0,1218,1606.0,1545,DL,1650,,153.0,147,,21.0,15.0,SLC,SAT,1086.0,,,0,,0,,,,,
1988,9,27,2,1142.0,1145,1252.0,1249,US,220,,70.0,64,,3.0,-3.0,DCA,ALB,318.0,,,0,,0,,,,,
1988,11,8,2,1428.0,1430,1507.0,1510,PI,1855,,39.0,40,,-3.0,-2.0,SYR,BUF,134.0,,,0,,0,,,,,
1988,1,5,2,920.0,900,1241.0,1228,UA,552,,141.0,148,,13.0,20.0,SFO,DEN,967.0,,,0,,0,,,,,
1988,2,15,1,800.0,800,1035.0,1019,DL,1119,,155.0,139,,16.0,0.0,PHL,MCO,861.0,,,0,,0,,,,,
1988,4,4,1,1933.0,1844,2304.0,2130,DL,507,,211.0,166,,94.0,49.0,JFK,TPA,1005.0,,,0,,0,,,,,
1988,9,17,6,900.0,900,1000.0,1004,EA,1021,,60.0,64,,-4.0,0.0,BOS,LGA,185.0,,,0,,0,,,,,
1988,1,8,5,1446.0,1446,1519.0,1530,DL,272,,93.0,104,,-11.0,0.0,CVG,MCI,539.0,,,0,,0,,,,,
1988,4,28,4,657.0,700,748.0,748,PI,806,,51.0,48,,0.0,-3.0,TPA,JAX,180.0,,,0,,0,,,,,
1988,12,19,1,2101.0,2053,2213.0,2157,PI,1130,,72.0,64,,16.0,8.0,BWI,EWR,169.0,,,0,,0,,,,,
